Instance  (n=10),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,tHGS,BST,CostAvg,Gapb,GapAvg
U_RC_N50_Q18_T6,8856.05,0,-,2400,5571.0,-,7195.0,8856.05,,5808.6,-34.41,15242.0,13784.0,5867.35,-33.75
U_RC_N50_Q18_T9,14832.6,0,-,2400,9488.87,19145.80,7192.0,14832.6,,9992.99,-32.63,18021.0,6458.0,10074.83,-32.08
U_RC_N50_Q18_T12,11391.4,0,-,2400,9553.21,-,7189.0,11391.4,,9931.52,-12.82,18018.0,11528.0,9992.26,-12.28
U_RC_N50_Q38_T6,6571.21,0,-,2400,3558.33,4416.37,7196.0,4416.37,,3802.17,-13.91,11818.0,5663.0,3884.24,-12.05
U_RC_N50_Q38_T9,9889.73,0,-,2400,4783.31,-,7193.0,9889.73,,5404.61,-45.35,18003.0,14661.0,5575.79,-43.62
U_RC_N50_Q38_T12,10968.9,0,-,2400,6577.93,-,7191.0,10968.9,,7410.7,-32.44,18006.0,13876.0,7513.29,-31.5
Instance (n=100),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,Gapb,tHGS,BST,CostAvg,GapAvg
R_C_N100_Q8_T6,141390.0,1.0,-,2400,108073.0,-,7194.0,141390.0,,111548.0,-21.11,18001.0,16808.0,111601.0,-21.07
R_C_N100_Q8_T9,258958.0,1.0,-,2400,169036.0,-,7195.0,258958.0,,178420.0,-31.1,18005.0,11112.0,178690.0,-31.0
R_C_N100_Q8_T12,348544.0,2.0,-,2400,222959.0,-,7196.0,348544.0,,234324.0,-32.77,18011.0,16527.0,234585.55,-32.7
R_C_N100_Q18_T6,93699.7,0.0,-,2400,58222.2,-,7191.0,93699.7,,62731.5,-33.05,18009.0,4708.0,62949.63,-32.82
R_C_N100_Q18_T9,117709.0,0.0,-,2400,84778.2,-,7195.0,117709.0,,89343.8,-24.1,18012.0,2512.0,89606.49,-23.87
R_C_N100_Q18_T12,149969.0,1.0,-,2400,110995.0,-,7195.0,149969.0,,124973.0,-16.67,18035.0,8618.0,125484.73,-16.33
