"CO=HC, H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
5n10_4,5,11296.3,11327.2,112.0,60.0,11300.6,11327.1,140.0,84.0,11327.1,11385.19,177.0,161.0,11338.8,11340.4,115.0,60.0
5n15_1,2,10539.4,10967.2,63.0,44.0,10539.2,10741.8,104.0,84.0,10536.5,11035.84,61.0,43.0,10539.2,10574.2,56.0,37.0
5n15_2,3,11775.9,11920.0,77.0,56.0,11775.9,12001.1,82.0,52.0,11772.8,12248.11,61.0,35.0,11776.5,11881.6,78.0,51.0
5n15_3,4,13155.9,13259.7,67.0,28.0,13145.6,13215.0,252.0,217.0,13140.1,13387.01,117.0,76.0,13145.4,13192.5,137.0,99.0
5n15_4,5,14661.0,14674.9,236.0,176.0,14625.1,14703.9,405.0,350.0,14622.5,14982.41,278.0,227.0,14663.9,14663.9,246.0,223.0
5n20_1,2,15702.1,15986.5,110.0,80.0,15704.9,15727.9,187.0,157.0,15696.4,16676.51,112.0,82.0,15697.8,15909.0,123.0,93.0
5n20_2,3,17560.7,17986.9,166.0,122.0,17557.8,17742.6,142.0,98.0,17558.7,18187.4,244.0,198.0,17620.8,17669.3,119.0,74.0
5n20_3,4,19627.1,20055.6,380.0,334.0,19630.2,19889.9,203.0,145.0,19631.1,20369.79,391.0,331.0,19776.5,20031.1,218.0,159.0
5n20_4,5,21761.8,22283.4,559.0,461.0,21853.7,22134.2,496.0,422.0,21837.5,22761.39,314.0,227.0,21839.3,22011.3,159.0,69.0
5n25_1,2,18138.5,18751.0,158.0,132.0,18140.2,18696.5,210.0,182.0,18139.6,18940.5,149.0,119.0,18139.6,18169.8,120.0,91.0
5n25_2,3,19868.6,19949.5,254.0,205.0,19930.2,20033.1,238.0,191.0,19877.6,20795.98,333.0,283.0,19869.1,20020.6,291.0,244.0
5n25_3,4,21979.6,22369.6,283.0,211.0,21961.7,22390.5,231.0,164.0,21938.3,22742.36,319.0,253.0,21971.2,22099.2,275.0,207.0
5n25_4,5,23938.7,24899.3,527.0,432.0,23893.5,24274.5,728.0,634.0,23970.6,24577.96,579.0,485.0,23955.1,24128.7,592.0,505.0
5n30_1,2,17689.1,18113.8,237.0,196.0,17686.3,17829.8,283.0,240.0,17689.7,18195.44,217.0,175.0,17690.5,17947.7,178.0,136.0
5n30_2,3,18808.7,18993.7,295.0,236.0,18788.7,19060.1,412.0,343.0,18791.0,19204.6,264.0,199.0,18806.0,18984.4,266.0,204.0
5n30_3,4,19940.1,20005.4,273.0,187.0,19890.6,20332.9,445.0,365.0,19899.0,20568.62,382.0,305.0,19897.7,20036.8,365.0,282.0
5n30_4,5,21119.7,21180.0,727.0,610.0,21162.7,21479.1,389.0,286.0,21102.4,21839.65,759.0,649.0,21176.4,21283.1,631.0,513.0
5n35_1,2,19933.0,20243.8,219.0,176.0,19934.4,19958.2,329.0,283.0,19931.8,20512.94,257.0,212.0,19934.8,20009.8,198.0,153.0
