Detailed results on small-scaled data with CO=LC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
3n35_5,14749.45,-,-,-,-,-,-,14749.45,15050.77,2.04,14749.45,0.0,,14767.0,0.12,3588.0,3114.0,14915.78,1.13
4n35_2,8525.55,-,-,-,-,-,-,8525.55,8525.55,0.0,8565.01,0.46,,8525.65,0.00,1589.0,1589.0,8526.95,0.02
4n35_3,9934.7,-,-,-,-,-,-,9934.7,10168.2,2.4,10104.8,1.7,,9863.15,-0.72,2854.0,2854.0,9932.3,-0.02
4n35_4,11351.15,-,-,-,-,-,-,11351.15,11466.75,1.02,11351.15,0.0,,11313.9,-0.33,2630.0,2630.0,11337.27,-0.12
4n35_5,12804.48,-,-,-,-,-,-,12804.48,13120.52,2.47,12843.48,0.3,,12748.6,-0.44,3850.0,3850.0,12843.29,0.3
5n35_2,8937.24,-,-,-,-,-,-,8937.24,9044.16,1.2,8937.24,0.0,,8937.46,0.00,875.0,875.0,8938.25,0.01
5n35_3,9927.1,-,-,-,-,-,-,9927.1,10044.45,1.18,9976.29,0.50,,9909.28,-0.18,2580.0,2580.0,9925.48,-0.02
5n35_4,11169.7,-,-,-,-,-,-,11169.7,11300.97,1.18,11352.33,1.64,,11176.0,0.1,2508.0,2508.0,11255.46,0.77
5n35_5,12399.31,-,-,-,-,-,-,12399.31,12676.77,2.24,12405.51,0.05,,12398.1,-0.01,7200.0,7200.0,12461.75,0.5
1n40_2,9643.14,-,-,-,-,-,-,9643.14,9691.81,0.5,9675.51,0.34,,9621.49,-0.22,1502.0,1265.0,9703.26,0.62
1n40_3,11118.72,-,-,-,-,-,-,11118.72,11167.18,0.44,11118.72,0.0,,11045.2,-0.66,2179.0,1858.0,11175.78,0.51
1n40_4,12591.71,-,-,-,-,-,-,12591.71,12591.71,0.0,12693.96,0.81,,12548.8,-0.34,4082.0,3543.0,12703.53,0.89
1n40_5,14147.47,-,-,-,-,-,-,14147.47,14468.37,2.27,14147.47,0.0,,14111.2,-0.26,4315.0,3795.0,14219.32,0.51
2n40_2,9378.18,-,-,-,-,-,-,9378.18,9400.22,0.24,9378.18,0.0,,9378.18,0.00,2053.0,2053.0,9379.29,0.01
2n40_3,10350.65,-,-,-,-,-,-,10350.65,10384.61,0.33,10386.04,0.34,,10350.6,-0.00,1420.0,1138.0,10350.67,0.0
2n40_4,11691.29,-,-,-,-,-,-,11691.29,11909.38,1.87,11720.56,0.25,,11662.3,-0.25,3308.0,2546.0,11666.8,-0.21
2n40_5,13049.32,-,-,-,-,-,-,13049.32,13491.3,3.39,13049.32,0.0,,13034.4,-0.11,5548.0,5548.0,13090.84,0.32
3n40_2,9293.48,-,-,-,-,-,-,9293.48,9309.2,0.17,9293.48,0.0,,9293.79,0.00,1445.0,1207.0,9294.83,0.01
3n40_3,10025.05,-,-,-,-,-,-,10025.05,10025.05,0.0,10104.87,0.8,,10004.2,-0.21,2593.0,1979.0,10015.17,-0.1
3n40_4,10893.69,-,-,-,-,-,-,10893.69,10929.23,0.33,10942.51,0.45,,10856.8,-0.34,2504.0,2139.0,10897.88,0.04
3n40_5,11839.45,-,-,-,-,-,-,11839.45,12017.17,1.5,11898.97,0.5,,11773.6,-0.56,2616.0,2133.0,11801.96,-0.32
4n40_2,9084.95,-,-,-,-,-,-,9084.95,9245.87,1.77,9084.95,0.0,,9084.95,0.00,2188.0,2188.0,9086.15,0.01
4n40_3,10106.21,-,-,-,-,-,-,10106.21,10106.21,0.0,10158.82,0.52,,10012.3,-0.93,4733.0,4733.0,10044.59,-0.61
4n40_4,11074.38,-,-,-,-,-,-,11074.38,11240.04,1.5,11112.55,0.34,,11055.6,-0.17,2357.0,2357.0,11093.63,0.17
4n40_5,12108.42,-,-,-,-,-,-,12108.42,12286.5,1.47,12109.83,0.01,,12199.2,0.75,5380.0,5380.0,12229.65,1.0
5n40_2,9065.9,-,-,-,-,-,-,9065.9,9077.71,0.13,9065.9,0.0,,9044.87,-0.23,2071.0,2071.0,9047.29,-0.21
5n40_3,10149.29,-,-,-,-,-,-,10149.29,10149.29,0.0,10201.15,0.51,,10112.5,-0.36,3992.0,3992.0,10152.9,0.04
5n40_4,11298.78,-,-,-,-,-,-,11298.78,11308.36,0.08,11358.66,0.53,,11266.2,-0.29,6800.0,6800.0,11286.14,-0.11
5n40_5,12542.94,-,-,-,-,-,-,12542.94,12937.07,3.14,12542.94,0.0,,12626.0,0.66,1980.0,1446.0,12713.7,1.36
